Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 8.0.*,,,,,"Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, 8.0.*  Recomendación:  Remove Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation, and replace with new package Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation 10.0.10"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,Microsoft.Extensions.Caching.Memory 8.0.1,,,,,"Microsoft.Extensions.Caching.Memory, 8.0.1  Recomendación:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.10"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,System.IO.Packaging 6.0.1,,,,,"System.IO.Packaging, 6.0.1  Recomendación:  Remove System.IO.Packaging, and replace with new package System.IO.Packaging 10.0.10"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.0  Recomendación:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.10"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.0  Recomendación:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.10"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.0  Recomendación:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.10"
NuGet.0002,Se recomienda actualizar el paquete NuGet,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.0  Recomendación:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.10"
Project.0002,Es necesario cambiar el marco de destino del proyecto,Active,Mandatory,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\FabricaHilos.csproj,,,,,,,,Marco de destino actual: net8.0 Marco de destino recomendado: net10.0
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views/RecursosHumanos/Aquarius/Marcaciones/Index_cshtml.g.cs,506,12,T:System.Uri,,,,,"WriteAttributeValue("""", 10055,   #nullable restore  #line (235,151)-(235,191) ""D:\Development\Code\WorkSpace\FabricaHilosRepository\FabricaHilos\Views\RecursosHumanos\Aquarius\Marcaciones\Index.cshtml""  Uri.EscapeDataString(emp.Empleado ?? """")    #line default  #line hidden  #nullable disable              , 10055, 41, false);"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\obj\Debug\net8.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views/RecursosHumanos/Aquarius/Marcaciones/Index_cshtml.g.cs,496,12,T:System.Uri,,,,,"WriteAttributeValue("""", 10006,   #nullable restore  #line (235,102)-(235,142) ""D:\Development\Code\WorkSpace\FabricaHilosRepository\FabricaHilos\Views\RecursosHumanos\Aquarius\Marcaciones\Index.cshtml""  Uri.EscapeDataString(emp.Personal ?? """")    #line default  #line hidden  #nullable disable              , 10006, 41, false);"
